issue_date,issue_time,address
2025-11-03,19:52:00,2122 KIRKHAM ST
2025-11-03,19:50:00,METRO POWELL STATION-OUTBOUND
2025-11-03,19:46:00,380 PAGE ST
2025-11-03,19:46:00,380 PAGE ST
2025-11-03,19:41:00,99 CERVANTES BLVD
2025-11-03,19:40:00,13 FRANCISCO ST
2025-11-03,19:35:00,831 NORTH POINT ST
2025-11-03,19:16:00,639 GROVE ST
2025-11-03,19:05:00,1250 HAIGHT ST
2025-11-03,18:59:00,3RD ST & MISSION ST
2025-11-03,18:57:00,292 EMBARCADERO SOUTH
2025-11-03,18:51:00,236 EMBARCADERO SOUTH
2025-11-03,18:51:00,1300 14TH AVE
2025-11-03,18:43:00,789 MISSION ST
2025-11-03,18:39:00,3650 FILLMORE ST
2025-11-03,18:36:00,LINCOLN WAY & 9TH AVE
2025-11-03,18:36:00,IRVING ST & 8TH AVE
2025-11-03,18:34:00,649 BRYANT ST
2025-11-03,18:34:00,1727 WALLER ST
2025-11-03,18:28:00,1799 ALAMEDA ST
2025-11-03,18:16:00,MISSION ST & 2ND ST
2025-11-03,18:12:00,2500 GOLDEN GATE AVE
2025-11-03,18:04:00,3RD ST & BRANNAN ST
2025-11-03,18:02:00,1340 MCALLISTER ST
2025-11-03,17:48:00,22ND AVE & NORIEGA ST
2025-11-03,17:47:00,475 SACRAMENTO ST
2025-11-03,17:47:00,995 NATOMA ST
2025-11-03,17:42:00,1503 HARRISON ST
2025-11-03,17:28:00,613 TEXAS ST
2025-11-03,17:27:00,115 SANSOME ST
2025-11-03,17:25:00,2580 POWELL ST
2025-11-03,17:19:00,693 POST ST
2025-11-03,17:16:00,271 BATTERY ST
2025-11-03,17:12:00,10 DAGGETT ST
2025-11-03,17:11:00,MARKET ST & 7TH ST
2025-11-03,17:06:00,106 STEUART ST
2025-11-03,17:04:00,625 JONES ST
2025-11-03,17:04:00,180 SUTTER ST
2025-11-03,16:54:00,MARKET ST & STOCKTON ST
2025-11-03,16:52:00,37TH AVE & LINCOLN WAY
2025-11-03,16:51:00,3RD ST & EVANS AVE
2025-11-03,16:51:00,MARKET ST & STOCKTON ST
2025-11-03,16:40:00,35 CHESTNUT ST
2025-11-03,16:39:00,2210 CLAY ST
2025-11-03,16:38:00,2210 CLAY ST
2025-11-03,16:34:00,101 LOMBARD ST
2025-11-03,16:27:00,SUTTER ST & SANSOME ST
2025-11-03,16:25:00,111 BAY ST
2025-11-03,16:24:00,4TH ST & TOWNSEND ST
2025-11-03,16:23:00,1102 GOUGH ST
2025-11-03,16:23:00,MISSION ST & 11TH ST
2025-11-03,16:22:00,THE EMBARCADERO & FERRY BUILDING
2025-11-03,16:22:00,THE EMBARCADERO & FERRY BUILDING
2025-11-03,16:17:00,788 O'FARRELL ST
2025-11-03,16:17:00,23RD AVE & NORIEGA ST
2025-11-03,16:15:00,304 DRUMM ST
2025-11-03,16:15:00,836 O'FARRELL ST
2025-11-03,16:13:00,74 HARTFORD ST
2025-11-03,16:11:00,3510 20TH ST
2025-11-03,16:10:00,1133 SOUTH VAN NESS AVE
2025-11-03,16:09:00,685 03RD ST
2025-11-03,16:08:00,890 O'FARRELL ST
2025-11-03,16:07:00,38 FORD ST
2025-11-03,16:03:00,346 CALIFORNIA ST
2025-11-03,16:03:00,1416 HAIGHT ST
2025-11-03,16:02:00,121 WISCONSIN ST
2025-11-03,16:01:00,MISSION ST & 16TH ST
2025-11-03,16:00:00,3577 17TH ST
2025-11-03,16:00:00,MISSION ST & 16TH ST
2025-11-03,15:58:00,425 CALIFORNIA ST
2025-11-03,15:56:00,10 DEARBORN ST
2025-11-03,15:52:00,SUNSET BLVD & RIVERA ST
2025-11-03,15:45:00,MISSION ST & 20TH ST
2025-11-03,15:40:00,MISSION ST & 20TH ST
2025-11-03,15:39:00,224 UTAH ST
2025-11-03,15:39:00,2107 CHESTNUT ST
2025-11-03,15:38:00,3RD ST & MISSION ST
2025-11-03,15:34:00,280 NORTH POINT ST
2025-11-03,15:33:00,60 CAMP ST
2025-11-03,15:29:00,1028 NATOMA ST
2025-11-03,15:28:00,23RD AVE & LAWTON ST
2025-11-03,15:27:00,MISSION ST & 9TH ST
2025-11-03,15:27:00,3RD ST & WARRIORS WAY
2025-11-03,15:26:00,MISSION ST & 9TH ST
2025-11-03,15:24:00,1338 05TH AVE
2025-11-03,15:22:00,2234 CHESTNUT ST
2025-11-03,15:22:00,MISSION ST & 9TH ST
2025-11-03,15:22:00,3RD ST & WARRIORS WAY
2025-11-03,15:21:00,890 VALENCIA ST
2025-11-03,15:20:00,MISSION ST & 9TH ST
2025-11-03,15:19:00,66 LAFAYETTE ST
2025-11-03,15:18:00,461 02ND ST
2025-11-03,15:17:00,MISSION ST & 9TH ST
2025-11-03,15:16:00,MISSION ST & 9TH ST
2025-11-03,15:16:00,85 MISSION ST
2025-11-03,15:13:00,85 MISSION ST
2025-11-03,15:12:00,1967 UNION ST
2025-11-03,15:11:00,85 MISSION ST
2025-11-03,15:11:00,712 LINCOLN WAY
2025-11-03,15:10:00,114 FREELON ST
2025-11-03,15:08:00,750 KEARNY ST
2025-11-03,15:06:00,LINCOLN WAY & 9TH AVE
2025-11-03,15:05:00,155 ALMA ST
2025-11-03,15:05:00,86 MISSION ST
2025-11-03,15:04:00,LINCOLN WAY & 9TH AVE
2025-11-03,15:02:00,85 MISSION ST
2025-11-03,15:01:00,110 HUGO ST
2025-11-03,15:01:00,THE EMBARCADERO & FERRY BUILDING
2025-11-03,14:59:00,MISSION ST & 7TH ST
2025-11-03,14:56:00,THE EMBARCADERO & FERRY BUILDING
2025-11-03,14:56:00,MISSION ST & 7TH ST
2025-11-03,14:54:00,49 JACK LONDON ALY
2025-11-03,14:54:00,85 MISSION ST
